species,source,n,P99,P99.5,P99.9
Burkholderia_Vietnamiensis,DRIAMS,11,100.0,100.0,100.0
Burkholderia_Vietnamiensis,RKI,14,100.0,100.0,100.0
Burkholderia_Xenovorans,MS-UMG,1,100.0,100.0,100.0
Burkholderia_cepacia_group,DRIAMS,7,100.0,100.0,100.0
Buttiauxella_Gaviniae,MS-UMG,1,100.0,100.0,100.0
Butyricimonas_Virosa,DRIAMS,7,100.0,85.7,85.7
Caballeronia_Glathei,RKI,24,100.0,100.0,100.0
Campylobacter_Coli,DRIAMS,55,100.0,100.0,100.0
Campylobacter_Coli,MARISMA,20,95.0,95.0,95.0
Campylobacter_Concisus,DRIAMS,7,100.0,100.0,100.0
Campylobacter_Fetus,DRIAMS,9,100.0,88.9,88.9
Campylobacter_Fetus,MARISMA,2,100.0,100.0,100.0
Campylobacter_Fetus,MS-UMG,1,100.0,100.0,100.0
Campylobacter_Jejuni,DRIAMS,372,99.7,99.5,98.9
Campylobacter_Jejuni,MARISMA,95,100.0,100.0,98.9
Campylobacter_Jejuni,RKI,10,100.0,100.0,100.0
Campylobacter_Lari,DRIAMS,3,100.0,100.0,100.0
Campylobacter_Rectus,DRIAMS,2,100.0,100.0,100.0
Campylobacter_Upsaliensis,DRIAMS,3,100.0,100.0,100.0
Campylobacter_Ureolyticus,DRIAMS,3,100.0,100.0,100.0
Candida_Africana,MS-UMG,2,50.0,0.0,0.0
Candida_Albicans,MARISMA,17,76.5,64.7,47.1
Candida_Albicans,MS-UMG,1603,50.0,41.7,28.2
Candida_Catenulata,MS-UMG,1,0.0,0.0,0.0
Candida_Dubliniensis,MS-UMG,72,56.9,45.8,30.6
Candida_Glabrata,MARISMA,47,97.9,95.7,89.4
Candida_Glabrata,MS-UMG,619,77.5,71.1,53.8
Candida_Guilliermondii,MS-UMG,10,80.0,80.0,60.0
Candida_Kefyr,MS-UMG,52,75.0,67.3,55.8
Candida_Krusei,MS-UMG,112,83.0,80.4,68.8
Candida_Lusitaniae,MS-UMG,27,74.1,66.7,55.6
Candida_Metapsilosis,MARISMA,1,100.0,100.0,100.0
Candida_Norvegensis,MS-UMG,3,33.3,33.3,33.3
Candida_Parapsilosis,MARISMA,17,88.2,82.4,76.5
Candida_Parapsilosis,MS-UMG,138,83.3,76.8,63.0
Candida_Species,MS-UMG,4,75.0,75.0,75.0
Candida_Tropicalis,MARISMA,8,87.5,87.5,62.5
Candida_Tropicalis,MS-UMG,198,64.6,58.1,47.5
Candida_Utilis,MS-UMG,1,100.0,100.0,0.0
Capnocytophaga_Sp,DRIAMS,3,100.0,100.0,100.0
Capnocytophaga_Sputigena,DRIAMS,14,100.0,100.0,92.9
Cedecea_Davisae,MS-UMG,1,100.0,100.0,100.0
Cedecea_Neteri,MS-UMG,3,100.0,100.0,100.0
Chromobacterium_Species,MS-UMG,2,100.0,100.0,100.0
Chryseobacterium_Gleum,DRIAMS,6,100.0,100.0,100.0
Chryseobacterium_Gleum,MS-UMG,3,100.0,100.0,100.0
Chryseobacterium_Indologenes,DRIAMS,1,100.0,100.0,100.0
Chryseobacterium_Indologenes,MARISMA,2,100.0,100.0,100.0
Chryseobacterium_Indologenes,MS-UMG,17,100.0,100.0,94.1
Chryseobacterium_Joostei,DRIAMS,2,100.0,100.0,100.0
Chryseobacterium_Joostei,MS-UMG,1,100.0,100.0,100.0
Chryseobacterium_Oranimense,MS-UMG,3,100.0,100.0,100.0
Chryseobacterium_Sp,DRIAMS,4,100.0,100.0,100.0
Chryseobacterium_Species,MS-UMG,1,100.0,100.0,100.0
Citrobacter_Amalonaticus,DRIAMS,22,86.4,77.3,50.0
Citrobacter_Amalonaticus,MARISMA,5,100.0,100.0,40.0
Citrobacter_Amalonaticus,MS-UMG,26,80.8,80.8,57.7
Citrobacter_Amalonaticus,RKI,26,92.3,92.3,76.9
Citrobacter_Braakii,DRIAMS,65,100.0,100.0,92.3
Citrobacter_Farmeri,DRIAMS,6,100.0,66.7,16.7
Citrobacter_Farmeri,MARISMA,4,25.0,25.0,25.0
Citrobacter_Freundii,DRIAMS,678,98.7,97.6,91.3
Citrobacter_Freundii,MARISMA,166,98.8,92.8,62.0
Citrobacter_Freundii,MS-UMG,419,97.1,94.7,85.4
Citrobacter_Freundii,RKI,26,100.0,100.0,100.0
Citrobacter_Koseri,DRIAMS,977,83.5,68.0,28.1
Citrobacter_Koseri,MARISMA,223,53.4,42.2,21.1
Citrobacter_Koseri,MS-UMG,549,71.9,59.0,39.3
Citrobacter_Koseri,RKI,18,100.0,100.0,88.9
Citrobacter_Murliniae,DRIAMS,2,100.0,100.0,100.0
Citrobacter_Sedlakii,DRIAMS,2,100.0,100.0,100.0
Citrobacter_Sedlakii,MARISMA,1,100.0,100.0,100.0
Citrobacter_Youngae,DRIAMS,3,100.0,100.0,100.0
Clostridium_Baratii,DRIAMS,1,100.0,100.0,100.0
Clostridium_Cadaveris,DRIAMS,1,100.0,100.0,100.0
Clostridium_Clostridioforme,DRIAMS,1,100.0,100.0,100.0
Clostridium_Clostridioforme,MS-UMG,1,100.0,100.0,100.0
Clostridium_Difficile,DRIAMS,18,100.0,100.0,100.0
Clostridium_Glycolicum,DRIAMS,2,100.0,100.0,100.0
Clostridium_Innocuum,DRIAMS,4,100.0,100.0,100.0
Clostridium_Paraputrificum,DRIAMS,6,100.0,100.0,100.0
Clostridium_Perfringens,DRIAMS,16,100.0,100.0,100.0
Clostridium_Perfringens,MS-UMG,5,60.0,60.0,60.0
Clostridium_Ramosum,DRIAMS,9,100.0,100.0,100.0
Clostridium_Ramosum,MS-UMG,1,100.0,100.0,100.0
