species,source,n,P99,P99.5,P99.9
Clostridium_Species,MS-UMG,1,100.0,100.0,100.0
Clostridium_Sporogenes,DRIAMS,2,100.0,100.0,100.0
Clostridium_Subterminale,DRIAMS,6,100.0,100.0,100.0
Clostridium_Symbiosum,DRIAMS,6,100.0,100.0,100.0
Comamonas_Aquatica,MS-UMG,1,100.0,100.0,100.0
Comamonas_Kerstersii,DRIAMS,1,100.0,100.0,100.0
Comamonas_Kerstersii,MARISMA,1,100.0,100.0,100.0
Comamonas_Kerstersii,MS-UMG,2,100.0,100.0,100.0
Comamonas_Species,MS-UMG,2,100.0,100.0,100.0
Corynebacterium_Accolens,MARISMA,1,100.0,100.0,100.0
Corynebacterium_Accolens,MS-UMG,23,82.6,82.6,82.6
Corynebacterium_Afermentans,DRIAMS,18,100.0,100.0,100.0
Corynebacterium_Afermentans,MS-UMG,12,100.0,100.0,100.0
Corynebacterium_Ammoniagenes,MS-UMG,2,100.0,100.0,100.0
Corynebacterium_Amycolatum,DRIAMS,58,100.0,100.0,100.0
Corynebacterium_Amycolatum,MARISMA,13,100.0,100.0,100.0
Corynebacterium_Amycolatum,MS-UMG,168,80.4,80.4,80.4
Corynebacterium_Amycolatum,RKI,14,100.0,100.0,100.0
Corynebacterium_Argentoratense,MS-UMG,1,100.0,100.0,100.0
Corynebacterium_Aurimucosum,DRIAMS,32,100.0,100.0,100.0
Corynebacterium_Aurimucosum,MARISMA,1,100.0,100.0,100.0
Corynebacterium_Aurimucosum,MS-UMG,33,60.6,60.6,60.6
Corynebacterium_Bovis,DRIAMS,4,100.0,100.0,100.0
Corynebacterium_Bovis,MARISMA,4,100.0,100.0,100.0
Corynebacterium_Bovis,MS-UMG,1,100.0,100.0,100.0
Corynebacterium_Confusum,DRIAMS,3,100.0,100.0,100.0
Corynebacterium_Confusum,MS-UMG,1,100.0,100.0,100.0
Corynebacterium_Coyleae,DRIAMS,5,100.0,100.0,100.0
Corynebacterium_Coyleae,MARISMA,2,100.0,100.0,100.0
Corynebacterium_Coyleae,MS-UMG,16,93.8,93.8,93.8
Corynebacterium_Diphtheriae,DRIAMS,4,100.0,100.0,100.0
Corynebacterium_Diphtheriae,MS-UMG,1,100.0,100.0,100.0
Corynebacterium_Diphtheriae,RKI,12,100.0,100.0,100.0
Corynebacterium_Frankenforstense,MS-UMG,2,100.0,100.0,100.0
Corynebacterium_Freneyi,MS-UMG,3,33.3,33.3,33.3
Corynebacterium_Glucuronolyticum,DRIAMS,24,100.0,100.0,100.0
Corynebacterium_Glucuronolyticum,MARISMA,3,100.0,100.0,100.0
Corynebacterium_Glucuronolyticum,MS-UMG,5,80.0,80.0,80.0
Corynebacterium_Imitans,DRIAMS,4,100.0,100.0,100.0
Corynebacterium_Imitans,MS-UMG,8,75.0,75.0,75.0
Corynebacterium_Jeikeium,DRIAMS,24,100.0,100.0,100.0
Corynebacterium_Jeikeium,MARISMA,1,100.0,100.0,100.0
Corynebacterium_Jeikeium,MS-UMG,12,100.0,100.0,100.0
Corynebacterium_Kroppenstedtii,DRIAMS,6,100.0,100.0,100.0
